回合,分数,平均分数
359,-1.0,-0.22
360,1.0,-0.2
361,1.0,-0.18
362,1.0,-0.16
363,1.0,-0.14
364,-1.0,-0.14
365,1.0,-0.12
366,1.0,-0.1
367,-1.0,-0.12
368,-1.0,-0.14
369,1.0,-0.12
370,-1.0,-0.12
371,1.0,-0.12
372,1.0,-0.12
373,1.0,-0.1
374,-1.0,-0.1
375,1.0,-0.1
376,-1.0,-0.1
377,0.0,-0.09
378,-1.0,-0.09
379,-1.0,-0.09
380,-1.0,-0.09
381,1.0,-0.09
382,-1.0,-0.09
383,-1.0,-0.09
384,-1.0,-0.09
385,-1.0,-0.11
386,1.0,-0.11
387,1.0,-0.09
388,1.0,-0.07
389,-1.0,-0.07
390,0.0,-0.08
391,1.0,-0.08
392,1.0,-0.06
393,-1.0,-0.06
394,1.0,-0.06
395,-1.0,-0.06
396,-1.0,-0.08
397,1.0,-0.06
398,1.0,-0.04
399,-1.0,-0.04
400,0.0,-0.03
401,1.0,-0.01
402,-1.0,-0.03
403,-1.0,-0.05
404,0.0,-0.06
405,-1.0,-0.08
406,-1.0,-0.08
407,-1.0,-0.1
408,1.0,-0.1
409,1.0,-0.1
410,-1.0,-0.1
411,-1.0,-0.12
412,0.0,-0.11
413,1.0,-0.09
414,1.0,-0.08
415,-1.0,-0.1
416,1.0,-0.08
417,-1.0,-0.08
418,1.0,-0.07
419,-1.0,-0.09
420,-1.0,-0.09
421,-1.0,-0.09
422,-1.0,-0.09
423,1.0,-0.07
424,-1.0,-0.07
425,-1.0,-0.09
426,-1.0,-0.11
427,-1.0,-0.11
428,-1.0,-0.13
429,1.0,-0.13
430,1.0,-0.11
431,-1.0,-0.11
432,1.0,-0.11
433,-1.0,-0.11
434,-1.0,-0.13
435,0.0,-0.14
436,1.0,-0.12
437,1.0,-0.1
438,0.0,-0.11
439,-1.0,-0.11
440,-1.0,-0.11
441,1.0,-0.09
442,-1.0,-0.09
443,-1.0,-0.11
444,-1.0,-0.11
445,1.0,-0.09
446,-1.0,-0.09
447,-1.0,-0.09
448,0.0,-0.08
449,-1.0,-0.1
450,1.0,-0.1
451,0.0,-0.11
452,0.0,-0.1
453,1.0,-0.08
454,1.0,-0.08
455,-1.0,-0.1
456,0.0,-0.09
457,1.0,-0.09
458,-1.0,-0.11
459,-1.0,-0.11
460,1.0,-0.11
461,-1.0,-0.13
462,-1.0,-0.15
463,-1.0,-0.17
464,-1.0,-0.17
465,1.0,-0.17
466,-1.0,-0.19
467,1.0,-0.17
468,-1.0,-0.17
469,-1.0,-0.19
470,1.0,-0.17
471,-1.0,-0.19
472,-1.0,-0.21
473,-1.0,-0.23
474,1.0,-0.21
475,-1.0,-0.23
476,1.0,-0.21
477,-1.0,-0.22
478,-1.0,-0.22
479,-1.0,-0.22
480,-1.0,-0.22
481,0.0,-0.23
482,-1.0,-0.23
483,1.0,-0.21
484,-1.0,-0.21
485,-1.0,-0.21
486,-1.0,-0.23
487,-1.0,-0.25
488,1.0,-0.25
489,-1.0,-0.25
490,1.0,-0.24
491,1.0,-0.24
492,1.0,-0.24
493,-1.0,-0.24
494,1.0,-0.24
495,1.0,-0.22
496,-1.0,-0.22
497,-1.0,-0.24
498,-1.0,-0.26
499,-1.0,-0.26
500,0.0,-0.26
501,1.0,-0.26
502,-1.0,-0.26
503,1.0,-0.24
504,-1.0,-0.25
505,1.0,-0.23
506,1.0,-0.21
507,-1.0,-0.21
508,-1.0,-0.23
509,1.0,-0.23
510,-1.0,-0.23
511,-1.0,-0.23
512,-1.0,-0.24
513,1.0,-0.24
514,-1.0,-0.26
515,-1.0,-0.26
516,1.0,-0.26
517,1.0,-0.24
518,1.0,-0.24
519,1.0,-0.22
520,1.0,-0.2
521,1.0,-0.18
522,-1.0,-0.18
523,-1.0,-0.2
524,1.0,-0.18
525,1.0,-0.16
526,-1.0,-0.16
527,1.0,-0.14
528,-1.0,-0.14
529,-1.0,-0.16
530,1.0,-0.16
531,1.0,-0.14
532,1.0,-0.14
533,1.0,-0.12
534,-1.0,-0.12
535,1.0,-0.11
536,1.0,-0.11
537,-1.0,-0.13
538,1.0,-0.12
539,-1.0,-0.12
540,1.0,-0.1
541,-1.0,-0.12
542,1.0,-0.1
543,1.0,-0.08
544,1.0,-0.06
545,-1.0,-0.08
546,-1.0,-0.08
547,1.0,-0.06
548,-1.0,-0.07
549,-1.0,-0.07
550,-1.0,-0.09
551,0.0,-0.09
552,1.0,-0.08
553,1.0,-0.08
554,0.0,-0.09
555,-1.0,-0.09
556,1.0,-0.08
557,0.0,-0.09
558,1.0,-0.07
559,1.0,-0.05
560,1.0,-0.05
561,-1.0,-0.05
562,-1.0,-0.05
563,1.0,-0.03
564,-1.0,-0.03
565,0.0,-0.04
566,1.0,-0.02
567,-1.0,-0.04
568,-1.0,-0.04
569,-1.0,-0.04
570,1.0,-0.04
571,1.0,-0.02
572,-1.0,-0.02
573,-1.0,-0.02
574,1.0,-0.02
575,-1.0,-0.02
576,1.0,-0.02
577,-1.0,-0.02
578,-1.0,-0.02
579,-1.0,-0.02
580,1.0,0.0
581,-1.0,-0.01
582,-1.0,-0.01
583,-1.0,-0.03
584,-1.0,-0.03
585,-1.0,-0.03
586,-1.0,-0.03
587,-1.0,-0.03
588,-1.0,-0.05
589,-1.0,-0.05
590,1.0,-0.05
591,1.0,-0.05
592,0.0,-0.06
593,1.0,-0.04
594,1.0,-0.04
595,-1.0,-0.06
596,1.0,-0.04
597,-1.0,-0.04
598,-1.0,-0.04
599,-1.0,-0.04
600,-1.0,-0.05
601,1.0,-0.05
602,1.0,-0.03
603,-1.0,-0.05
604,1.0,-0.03
605,1.0,-0.03
606,-1.0,-0.05
607,-1.0,-0.05
608,-1.0,-0.05
609,-1.0,-0.07
610,1.0,-0.05
611,1.0,-0.03
612,0.0,-0.02
613,1.0,-0.02
614,-1.0,-0.02
615,1.0,0.0
616,1.0,0.0
617,-1.0,-0.02
618,-1.0,-0.04
619,1.0,-0.04
620,1.0,-0.04
621,-1.0,-0.06
622,-1.0,-0.06
623,-1.0,-0.06
624,-1.0,-0.08
625,0.0,-0.09
626,1.0,-0.07
627,-1.0,-0.09
628,-1.0,-0.09
629,-1.0,-0.09
630,1.0,-0.09
631,-1.0,-0.11
632,1.0,-0.11
633,0.0,-0.12
634,1.0,-0.1
635,-1.0,-0.12
636,1.0,-0.12
637,0.0,-0.11
638,-1.0,-0.13
639,1.0,-0.11
640,-1.0,-0.13
641,-1.0,-0.13
642,-1.0,-0.15
643,-1.0,-0.17
644,0.0,-0.18
645,1.0,-0.16
646,0.0,-0.15
647,-1.0,-0.17
648,-1.0,-0.17
649,1.0,-0.15
650,-1.0,-0.15
651,-1.0,-0.16
652,1.0,-0.16
653,-1.0,-0.18
654,-1.0,-0.19
655,1.0,-0.17
656,1.0,-0.17
657,-1.0,-0.18
658,-1.0,-0.2
659,1.0,-0.2
660,-1.0,-0.22
661,1.0,-0.2
662,1.0,-0.18
663,-1.0,-0.2
664,-1.0,-0.2
665,-1.0,-0.21
666,1.0,-0.21
667,-1.0,-0.21
668,-1.0,-0.21
669,1.0,-0.19
670,-1.0,-0.21
671,1.0,-0.21
672,-1.0,-0.21
673,-1.0,-0.21
674,1.0,-0.21
675,-1.0,-0.21
676,0.0,-0.22
677,0.0,-0.21
678,-1.0,-0.21
679,1.0,-0.19
680,-1.0,-0.21
681,1.0,-0.19
682,1.0,-0.17
683,-1.0,-0.17
684,-1.0,-0.17
685,-1.0,-0.17
686,-1.0,-0.17
687,-1.0,-0.17
688,-1.0,-0.17
689,1.0,-0.15
690,-1.0,-0.17
691,-1.0,-0.19
692,1.0,-0.18
693,1.0,-0.18
694,1.0,-0.18
695,-1.0,-0.18
696,-1.0,-0.2
697,-1.0,-0.2
698,-1.0,-0.2
699,1.0,-0.18
700,1.0,-0.16
701,-1.0,-0.18
702,1.0,-0.18
703,1.0,-0.16
704,1.0,-0.16
705,-1.0,-0.18
706,-1.0,-0.18
707,1.0,-0.16
708,-1.0,-0.16
709,1.0,-0.14
710,1.0,-0.14
711,1.0,-0.14
712,1.0,-0.13
713,-1.0,-0.15
714,-1.0,-0.15
715,-1.0,-0.17
716,-1.0,-0.19
717,-1.0,-0.19
718,-1.0,-0.19
719,0.0,-0.2
720,1.0,-0.2
721,1.0,-0.18
722,-1.0,-0.18
723,0.0,-0.17
724,-1.0,-0.17
725,1.0,-0.16
726,0.0,-0.17
727,1.0,-0.15
728,-1.0,-0.15
729,-1.0,-0.15
730,-1.0,-0.17
731,-1.0,-0.17
732,-1.0,-0.19
733,-1.0,-0.2
734,-1.0,-0.22
735,-1.0,-0.22
736,1.0,-0.22
737,1.0,-0.21
738,1.0,-0.19
739,1.0,-0.19
740,1.0,-0.17
741,0.0,-0.16
742,0.0,-0.15
743,1.0,-0.13
744,1.0,-0.12
745,1.0,-0.12
746,1.0,-0.11
747,-1.0,-0.11
748,-1.0,-0.11
749,-1.0,-0.13
750,-1.0,-0.13
751,-1.0,-0.13
752,1.0,-0.13
753,-1.0,-0.13
754,-1.0,-0.13
755,1.0,-0.13
756,1.0,-0.13
757,1.0,-0.11
758,-1.0,-0.11
759,-1.0,-0.13
760,-1.0,-0.13
761,-1.0,-0.15
762,1.0,-0.15
763,-1.0,-0.15
764,-1.0,-0.15
765,0.0,-0.14
766,-1.0,-0.16
767,1.0,-0.14
768,-1.0,-0.14
769,1.0,-0.14
770,-1.0,-0.14
771,-1.0,-0.16
772,-1.0,-0.16
773,-1.0,-0.16
774,-1.0,-0.18
775,-1.0,-0.18
776,-1.0,-0.19
777,1.0,-0.18
778,-1.0,-0.18
779,1.0,-0.18
780,1.0,-0.16
781,-1.0,-0.18
782,1.0,-0.18
783,1.0,-0.16
784,1.0,-0.14
785,-1.0,-0.14
786,1.0,-0.12
787,-1.0,-0.12
788,-1.0,-0.12
789,1.0,-0.12
790,1.0,-0.1
791,1.0,-0.08
792,1.0,-0.08
793,-1.0,-0.1
794,1.0,-0.1
795,1.0,-0.08
796,1.0,-0.06
797,1.0,-0.04
798,1.0,-0.02
799,-1.0,-0.04
800,1.0,-0.04
801,-1.0,-0.04
802,-1.0,-0.06
803,1.0,-0.06
804,-1.0,-0.08
805,1.0,-0.06
806,-1.0,-0.06
807,-1.0,-0.08
808,1.0,-0.06
809,1.0,-0.06
810,1.0,-0.06
811,-1.0,-0.08
812,0.0,-0.09
813,-1.0,-0.09
814,1.0,-0.07
815,1.0,-0.05
816,-1.0,-0.05
817,-1.0,-0.05
818,-1.0,-0.05
819,-1.0,-0.06
820,-1.0,-0.08
821,-1.0,-0.1
822,-1.0,-0.1
823,1.0,-0.09
824,-1.0,-0.09
825,-1.0,-0.11
826,-1.0,-0.12
827,0.0,-0.13
828,-1.0,-0.13
829,-1.0,-0.13
830,1.0,-0.11
831,1.0,-0.09
832,-1.0,-0.09
833,1.0,-0.07
834,-1.0,-0.07
835,-1.0,-0.07
836,1.0,-0.07
837,-1.0,-0.09
838,1.0,-0.09
839,1.0,-0.09
840,1.0,-0.09
841,1.0,-0.08
842,1.0,-0.07
843,-1.0,-0.09
844,-1.0,-0.11
845,-1.0,-0.13
846,1.0,-0.13
847,-1.0,-0.13
848,1.0,-0.11
849,-1.0,-0.11
850,0.0,-0.1
851,1.0,-0.08
852,-1.0,-0.1
853,-1.0,-0.1
854,-1.0,-0.1
855,-1.0,-0.12
856,1.0,-0.12
857,-1.0,-0.14
858,-1.0,-0.14
859,-1.0,-0.14
860,1.0,-0.12
861,1.0,-0.1
862,1.0,-0.1
863,0.0,-0.09
864,-1.0,-0.09
865,1.0,-0.08
866,1.0,-0.06
867,-1.0,-0.08
868,-1.0,-0.08
869,1.0,-0.08
870,-1.0,-0.08
871,-1.0,-0.08
872,1.0,-0.06
873,1.0,-0.04
874,1.0,-0.02
875,1.0,0.0
876,1.0,0.02
877,1.0,0.02
878,-1.0,0.02
879,1.0,0.02
880,1.0,0.02
881,0.0,0.03
882,-1.0,0.01
883,1.0,0.01
884,-1.0,-0.01
885,-1.0,-0.01
886,1.0,-0.01
887,-1.0,-0.01
888,1.0,0.01
889,-1.0,-0.01
890,-1.0,-0.03
891,-1.0,-0.05
